Date,Open,High,Low,Close,Adj Close,Volume
2016-03-04,200.009995,201.350006,199.029999,200.429993,181.977966,129293600
2016-03-07,199.339996,201.070007,199.250000,200.589996,182.123245,100219000
2016-03-08,199.320007,199.919998,198.210007,198.399994,180.134842,123974900
2016-03-09,199.360001,199.789993,198.429993,199.380005,181.024643,94801200
2016-03-10,199.960007,201.070007,197.380005,199.539993,181.169907,156838700
2016-03-11,201.259995,202.809998,199.520004,202.759995,184.093460,137964500
2016-03-14,202.160004,203.039993,201.770004,202.500000,183.857391,73612000
2016-03-15,201.360001,202.529999,201.050003,202.169998,183.557770,93169100
2016-03-16,201.600006,203.820007,201.550003,203.339996,184.620056,129303200
2016-03-17,203.240005,205.229996,202.770004,204.630005,185.791290,134278500
2016-03-18,204.169998,204.779999,203.800003,204.380005,186.521408,138372400
2016-03-21,204.070007,204.940002,203.800003,204.669998,186.786087,72926700
2016-03-22,203.759995,205.229996,203.570007,204.559998,186.685638,97471900
2016-03-23,204.110001,204.330002,203.009995,203.210007,185.453659,81052500
2016-03-24,202.000000,203.160004,201.740005,203.119995,185.371506,84360900
2016-03-28,203.610001,203.860001,202.710007,203.240005,185.481003,62408200
2016-03-29,202.759995,205.250000,202.399994,205.119995,187.196747,92922900
2016-03-30,206.300003,206.869995,205.589996,206.020004,188.018112,86365300
2016-03-31,205.910004,206.410004,205.330002,205.520004,187.561813,94584100
2016-04-01,204.350006,207.139999,203.979996,206.919998,188.839432,114423500
2016-04-04,206.830002,207.070007,205.889999,206.250000,188.227966,63497000
2016-04-05,204.669998,206.259995,203.889999,204.190002,186.348007,99662200
2016-04-06,204.190002,206.490005,203.979996,206.419998,188.383148,91839800
2016-04-07,205.139999,205.559998,203.089996,203.949997,186.128967,113859000
2016-04-08,205.339996,205.850006,203.869995,204.500000,186.630890,95040600
2016-04-11,205.250000,206.070007,203.910004,204.020004,186.192871,83757500
2016-04-12,204.220001,206.250000,203.699997,205.919998,187.926834,115350600
2016-04-13,207.000000,208.100006,206.839996,208.000000,189.825073,96336400
2016-04-14,208.070007,208.600006,207.600006,208.009995,189.834213,65212900
2016-04-15,208.009995,208.169998,207.399994,207.779999,189.624283,75761600
2016-04-18,207.779999,209.279999,207.000000,209.240005,190.956726,82531000
2016-04-19,209.740005,210.199997,208.940002,209.899994,191.559052,88316100
2016-04-20,209.949997,210.919998,209.389999,210.100006,191.741562,81100300
2016-04-21,210.119995,210.250000,208.649994,208.970001,190.710342,85695000
2016-04-22,208.550003,209.289993,207.910004,208.970001,190.710342,99251700
2016-04-25,208.259995,208.660004,207.539993,208.610001,190.381760,66166500
2016-04-26,209.039993,209.520004,208.360001,208.919998,190.664703,75864200
2016-04-27,208.470001,209.809998,208.050003,209.350006,191.057129,77329400
2016-04-28,208.460007,209.759995,206.960007,207.449997,189.323120,97216200
2016-04-29,206.720001,207.130005,205.029999,206.330002,188.300995,142424100
2016-05-02,206.919998,208.179993,206.410004,207.970001,189.797699,62188000
2016-05-03,206.520004,206.800003,205.279999,206.160004,188.145859,106422100
2016-05-04,204.990005,205.850006,204.419998,205.009995,187.096313,92243800
2016-05-05,205.559998,205.979996,204.470001,204.970001,187.059875,67619200
2016-05-06,204.059998,205.770004,203.880005,205.720001,187.744308,89315000
2016-05-09,205.570007,206.399994,205.360001,205.889999,187.899445,74374900
2016-05-10,206.720001,208.470001,206.639999,208.449997,190.235779,77472200
2016-05-11,207.910004,208.539993,206.500000,206.500000,188.456161,81727000
2016-05-12,207.289993,207.490005,205.369995,206.559998,188.510910,89586300
2016-05-13,206.210007,206.860001,204.380005,204.759995,186.868164,96474600
2016-05-16,204.960007,207.339996,204.889999,206.779999,188.711700,77486800
2016-05-17,206.460007,206.800003,204.229996,204.850006,186.950363,114924900
2016-05-18,204.440002,206.300003,203.630005,204.910004,187.005066,120062100
2016-05-19,204.059998,204.539993,202.779999,204.199997,186.357086,115430500
2016-05-20,204.919998,206.100006,204.860001,205.490005,187.534409,104990400
2016-05-23,205.509995,205.839996,204.990005,205.210007,187.278870,58682600
2016-05-24,206.169998,208.240005,206.139999,207.869995,189.706421,93537800
2016-05-25,208.669998,209.770004,207.869995,209.279999,190.993210,76621400
2016-05-26,209.440002,209.710007,208.970001,209.339996,191.047989,55280700
2016-05-27,209.529999,210.250000,209.470001,210.240005,191.869370,64211200
2016-05-31,210.559998,210.690002,209.179993,209.839996,191.504318,109879400
2016-06-01,209.119995,210.479996,208.889999,210.270004,191.896759,69936200
2016-06-02,209.800003,210.929993,209.240005,210.910004,192.480804,63044700
2016-06-03,210.250000,210.690002,208.860001,210.279999,191.905869,101757100
2016-06-06,210.699997,211.770004,210.509995,211.350006,192.882385,64887000
2016-06-07,211.529999,212.339996,211.500000,211.679993,193.183502,60974800
2016-06-08,211.839996,212.520004,211.690002,212.369995,193.813248,66170900
2016-06-09,211.509995,212.220001,211.190002,212.080002,193.548569,73786900
2016-06-10,210.460007,210.860001,209.429993,210.070007,191.714233,113829200
2016-06-13,209.360001,210.369995,208.350006,208.449997,190.235779,117751200
2016-06-14,208.000000,208.740005,206.919998,208.039993,189.861603,125059300
2016-06-15,208.039993,209.360001,207.529999,207.750000,189.596924,109124500
2016-06-16,207.750000,208.570007,205.589996,208.369995,190.162720,149533100
2016-06-17,207.169998,207.199997,205.750000,206.520004,189.454559,117055700
2016-06-20,208.820007,209.610001,207.750000,207.850006,190.674667,82789600
2016-06-21,208.300003,208.919998,207.779999,208.440002,191.215912,72461700
2016-06-22,208.649994,209.500000,207.929993,208.100006,190.904007,95560500
2016-06-23,209.809998,210.869995,209.270004,210.809998,193.390045,102731400
2016-06-24,203.630005,210.850006,202.720001,203.240005,186.445602,333444400
2016-06-27,201.589996,201.600006,198.649994,199.600006,183.106354,230775800
2016-06-28,201.479996,203.229996,201.119995,203.199997,186.408920,159382400
2016-06-29,204.839996,206.929993,204.720001,206.660004,189.582993,137328600
2016-06-30,207.210007,209.539993,206.559998,209.479996,192.169922,165021900
2016-07-01,209.479996,210.490005,209.289993,209.919998,192.573608,106055300
2016-07-05,208.949997,209.080002,207.710007,208.410004,191.188339,109803700
2016-07-06,207.830002,209.800003,207.059998,209.660004,192.335098,96021500
2016-07-07,209.869995,210.649994,208.630005,209.529999,192.215805,85593800
2016-07-08,211.050003,212.940002,210.779999,212.649994,195.078003,133971000
2016-07-11,213.190002,214.070007,212.949997,213.399994,195.766037,73633900
2016-07-12,214.529999,215.300003,213.429993,214.949997,197.187912,101275600
2016-07-13,215.440002,215.449997,214.350006,214.919998,197.160416,87324100
2016-07-14,216.399994,216.669998,215.660004,216.119995,198.261246,91230900
2016-07-15,216.779999,217.009995,215.309998,215.830002,197.995239,107155400
2016-07-18,215.970001,216.600006,215.669998,216.410004,198.527283,58725900
2016-07-19,215.919998,216.229996,215.630005,216.190002,198.325485,54345700
2016-07-20,216.190002,217.369995,216.190002,217.089996,199.151108,58159500
2016-07-21,216.960007,217.220001,215.750000,216.270004,198.398895,67777300
2016-07-22,216.410004,217.300003,216.100006,217.240005,199.288712,62787500
2016-07-25,217.000000,217.059998,215.970001,216.649994,198.747467,55873100
2016-07-26,216.529999,217.169998,215.759995,216.750000,198.839218,70080500
